algorithm;param_1_name;param_1_value;param_2_name;param_2_value;fitness;precision;generalization;cc;places;transitions;arcs;simplicity_normalized;multi_objective_score
IMf;noise_threshold;5;;;9,96095E+15;2,82942E+15;9,16919E+15;36;53;77;164;4,54545E+16;7,12159E+15
IMf;noise_threshold;1;;;9,85662E+15;2,97526E+15;9,27838E+15;31;46;61;136;4,91803E+16;7,18271E+14
IMf;noise_threshold;2;;;9,78606E+15;2,44852E+16;9,47275E+15;35;46;71;150;4,61538E+16;7,00507E+15
IMf;noise_threshold;3;;;9,87398E+15;1,85319E+15;9,17218E+13;33;40;67;138;4,7619E+16;6,81617E+15
IMf;noise_threshold;4;;;9,5656E+15;2,71123E+15;8,73272E+15;30;45;63;136;5;6,88615E+15
IMf;noise_threshold;5;;;8,90511E+15;2,82602E+16;7,05051E+15;29;46;63;136;5,08475E+15;6,32843E+15
Heuristic;dependency_threshold;5;and_threshold;3;8,98807E+15;7,88017E+15;9,28174E+15;61;48;81;188;3,2967E+16;8,1453E+14
Heuristic;dependency_threshold;5;and_threshold;5;9,49299E+15;6,71073E+15;9,28395E+15;59;42;80;179;3,37079E+16;8,00429E+15
Heuristic;dependency_threshold;5;and_threshold;65;9,54575E+15;6,71073E+15;9,28927E+15;60;43;82;183;3,33333E+15;8,02271E+15
Heuristic;dependency_threshold;7;and_threshold;3;8,98806E+15;7,88017E+15;9,41845E+15;60;47;79;184;3,33333E+15;8,1763E+15
Heuristic;dependency_threshold;7;and_threshold;5;9,49298E+15;6,71807E+14;9,42247E+15;58;41;78;175;3,40909E+15;8,03802E+15
Heuristic;dependency_threshold;7;and_threshold;65;9,54574E+15;6,71807E+14;9,42446E+15;59;42;80;179;3,37079E+16;8,05569E+14
Heuristic;dependency_threshold;9;and_threshold;3;9,08618E+15;6,90366E+15;9,44411E+15;62;48;83;191;3,26087E+16;7,92048E+15
Heuristic;dependency_threshold;9;and_threshold;5;9,58962E+15;6,3174E+15;9,42387E+15;60;42;82;182;3,33333E+15;7,94918E+15
Heuristic;dependency_threshold;9;and_threshold;65;9,64305E+15;6,3174E+15;9,43126E+14;61;43;84;186;3,2967E+16;7,96836E+15
Heuristic;dependency_threshold;95;and_threshold;3;9,08613E+15;7,01728E+15;9,41315E+15;61;48;82;189;3,2967E+16;7,95194E+15
Heuristic;dependency_threshold;95;and_threshold;5;9,58956E+15;6,30346E+15;9,44505E+15;59;42;81;180;3,37079E+16;7,95295E+15
Heuristic;dependency_threshold;95;and_threshold;65;9,5345E+15;6,30346E+15;9,36878E+15;60;43;83;184;3,33333E+15;7,91193E+15
Heuristic;dependency_threshold;99;and_threshold;3;9,07336E+14;7,01728E+15;9,52531E+15;60;46;79;183;3,33333E+15;7,97292E+15
Heuristic;dependency_threshold;99;and_threshold;5;9,58349E+15;6,26905E+15;9,55613E+15;58;40;78;174;3,40909E+15;7,96625E+14
Heuristic;dependency_threshold;99;and_threshold;65;9,52772E+15;6,26905E+15;9,4628E+15;59;41;80;178;3,37079E+16;7,92144E+15
